Nombre,Captura,Sex,Sexo,Track,Calls5min,Temp,HR,Larvas,LHC,Peso,SPL,NC,ND,CD,Agg Entropy,Avg Entropy,DF,RMS Amp
Eugenia,142,Females,H,376L,8,NA,NA,NA,23.4,1.15,71.43103448,15,0.256545455,2.141,1.379378788,1.524621212,3340.875758,162764.3
Michelle,158,Non-pregnant males,M,162L,4,15.4,84.2,NA,22.4,NA,63.22142857,17,0.155625,1.557,2.427145833,2.0319375,3402.23125,89155.9
Dr‡cula,171,Females,H,172R,5,NA,NA,NA,23.7,1.1,NA,12,0.19646,2.0082,1.9597,1.85172,3686.474,53409.7
Herlinda,173,Non-pregnant males,M,171L,5,NA,NA,NA,22.7,0.92,62.77894737,33,0.181597403,1.723222222,2.882636364,2.690168831,3487.814286,110800.1
Luisa,175,Females,H,179L,11,NA,NA,NA,23.2,1.06,64.16923077,14,0.157125,NA,1.926541667,1.766208333,3682.166667,43954
Femalesrancisco,176,Pregnant males,MP,174L,3,NA,NA,5,22.6,1.11,62.375,14,0.176444444,1.737125,2.544981481,2.4585,3633.538889,62616
Obama,196,Pregnant males,MP,183L,9,NA,NA,2,22.4,0.93,68.26,22,0.143553571,1.54275,1.852410714,1.757267857,3229.946429,219744.9
Edgar,200,Pregnant males,MP,186R,8,20.3,75.1,3,22.2,0.92,NA,17,0.132742857,1.419,1.734871429,1.767585714,4272.157143,58691.5
Ollin,215,Pregnant males,MP,186L,8,19,79.2,2,22.2,0.86,NA,14,0.208839286,1.920333333,3.143517857,2.380517857,3817.510714,105319.3
Ruben,223,Pregnant males,MP,193L,3,NA,NA,2,21.6,0.86,67.56666667,4,0.162411765,1.643666667,1.593117647,1.594235294,3273,29010.9
Tehuacan,231,Non-pregnant males,M,190L,11,25.6,71.5,NA,21.8,0.83,58.16,8,0.201382353,1.6295,1.942529412,1.9195,3951.964706,40606.4
Esteban,234,Non-pregnant males,M,184L,9,18.9,81.9,NA,20.6,0.78,67.59,10,0.141858407,1.311454545,2.610079646,2.721849558,3840.140708,356038.4
Femaleslash,256,Non-pregnant males,M,208R,11,18.2,82.1,NA,21.8,0.76,NA,19,0.133674419,1.6275,1.739302326,1.684232558,3377.186047,64225.7
267,267,Pregnant males,MP,200L,12,21.6,78.6,5,23.4,1.09,56.92857143,15,0.167867925,1.5438,3.161018868,2.587358491,4059.596226,73951.4
Cirilo,268,Pregnant males,MP,204R,4,NA,NA,3,22.6,0.94,NA,5,0.1598,1.6882,1.60655,1.7888,3445.3,54693.2
Abel,273,Pregnant males,MP,207R,7,NA,NA,2,21.7,1,69.14,17,0.151970149,1.5496875,1.561761194,1.645626866,3617.6,140005.6
Izcoatl,274,Pregnant males,MP,207L,4,NA,NA,2,22.3,0.9,64.54285714,7,0.141485714,NA,1.791514286,1.915028571,3652.04,106579.7
Ismael,299,Non-pregnant males,M,212L,8,NA,NA,NA,NA,0.74,NA,11,0.131258065,1.386142857,1.601354839,1.717290323,3923.2,49986.7
Victoria,316,Females,H,218L,8,NA,NA,NA,23.6,1.11,58.875,8,0.162677419,1.518571429,2.528580645,2.046064516,2995.193548,12731.9
Victor,340,Non-pregnant males,M,230R,5,NA,NA,NA,23.2,0.86,62.7375,13,0.14034375,1.403,1.55284375,1.68821875,3962.1,55335.5
Melchor,342,Non-pregnant males,M,226L,5,15.7,74.8,NA,21.6,0.75,64.51,27,0.140946667,1.487571429,1.685573333,1.69728,3929.941333,134976.5
Femalesrancisco,343,Non-pregnant males,M,227L,6,NA,NA,NA,22.7,0.8,61.84666667,8,0.115130952,NA,2.25897619,1.729678571,3769.32619,189382.9
Xavier,344,Non-pregnant males,M,227R,10,NA,NA,NA,21.3,0.68,59.924,19,0.158054688,1.478333333,1.474632813,1.605015625,3649.885156,311815.6
Ernesto,346,Non-pregnant males,M,230L,6,NA,NA,NA,21.8,0.78,53.41818182,15,0.179134615,1.8508,1.980153846,2.021134615,3538.088462,54669
350,350,Females,H,240L,7,NA,NA,NA,21.9,0.9,64.5375,8,0.16156,2.0055,2.13284,1.98732,3341.94,51199.9
352,352,Females,H,241L,12,NA,NA,NA,23.2,1.13,61.7,12,0.21038,1.8623,2.4169,2.27698,3593.478,86866.9
Ele,361,Females,H,231L,10,NA,NA,NA,22.1,0.92,66.65769231,33,0.210747899,1.707458333,2.219201681,2.009327731,3254.204202,72817.7
Lucrecia,363,Females,H,228L,9,NA,NA,NA,22.7,1,65.52142857,22,0.197955224,1.98175,3.146298507,2.457507463,3113.608955,42238.9
Socorro,390,Females,H,244L,7,NA,NA,NA,25.2,1.19,62.15,7,0.1683,1.761,2.9199,2.201133333,3508.483333,54362.6
ChiFemalesœ,194b,Pregnant males,MP,180L,8,NA,NA,4,20.9,1,59.85652174,27,0.208650943,1.834045455,1.648009434,1.775726415,3547.704717,166881.2
Silvio,294b,Pregnant males,MP,211L,3,19.8,82.1,4,22,1,66.31666667,4,0.165894737,1.463,1.865894737,1.778105263,3617.6,61938
Chifœ,194b,Pregnant males,MP,180L,8,NA,NA,4,20.9,1,59.85652174,27,0.208650943,1.834045455,1.648009434,1.775726415,3547.704717,166881.2
